Title,Url,Sdk,discount,unavailable
Refrigerador Consul Frost Free CRM43NK com 2 Portas Inox - 386 L,https://www.extra.com.br/refrigerador-consul-frost-free-crm43nk-com-2-portas-inox-386-l/p/9600890,9600890,4%,False
Refrigerador Consul Frost Free Facilite CRB39AK 1 Porta Evox – 342 litros,https://www.extra.com.br/refrigerador-consul-frost-free-facilite-crb39ak-1-porta-evox-342-litros/p/10153519,10153519,7%,False
Refrigerador Consul Frost Free CRM39AB Duplex com Prateleiras Altura Flex Branca – 340L,https://www.extra.com.br/refrigerador-consul-frost-free-crm39ab-duplex-com-prateleiras-altura-flex-branca-340l/p/50004596,50004596,4%,False
Refrigerador Electrolux DF44 com Prateleira Reversível Branco – 402L,https://www.extra.com.br/refrigerador-electrolux-df44-com-prateleira-reversivel-branco-402l/p/15243319,15243319,7%,False
Refrigerador Electrolux Frost Free DB53 Bottom com Painel Blue Touch 454L - Branco,https://www.extra.com.br/refrigerador-electrolux-frost-free-db53-bottom-com-painel-blue-touch-454l-branco/p/11688788,11688788,3%,False
Refrigerador Electrolux DF56 com Icemax Branco - 474L,https://www.extra.com.br/refrigerador-electrolux-df56-com-icemax-branco-474l/p/15243314,15243314,6%,False
Refrigerador Brastemp Side Inverse BRO80AB com Ice Maker Branco - 540L,https://www.extra.com.br/refrigerador-brastemp-side-inverse-bro80ab-com-ice-maker-branco-540l/p/4420011,4420011,4%,False
Refrigerador Panasonic Frost Free NR-BB53GV3W Tecnologia Econavi White Glass - 425 Litros,https://www.extra.com.br/refrigerador-panasonic-frost-free-nr-bb53gv3w-tecnologia-econavi-white-glass-425-litros/p/55007189,55007189,4%,False
Refrigerador Consul CRE44AB Frost Free Duplex com Turbo Freezer Branco – 397L,https://www.extra.com.br/refrigerador-consul-cre44ab-frost-free-duplex-com-turbo-freezer-branco-397l/p/50003891,50003891,3%,True
Refrigerador Electrolux Infinity DF80X Frost Free com Interface Blue Touch 553L - Inox,https://www.extra.com.br/refrigerador-electrolux-infinity-df80x-frost-free-com-interface-blue-touch-553l-inox/p/9344,9344,13%,True
Refrigerador Brastemp Inverse BRE58AB Frost Free com Adega 478L - Branco,https://www.extra.com.br/refrigerador-brastemp-inverse-bre58ab-frost-free-com-adega-478l-branco/p/11689344,11689344,15%,True
Geladeira Brastemp Frost Free Inverse 478 L Evox BRE58AK,https://www.extra.com.br/geladeira-brastemp-frost-free-inverse-478-l-evox-bre58ak/p/11689373,11689373,11%,True
